9.49,48.33,1.78
9.74,58.09,2.16
10.01,69.82,2.62
10.25,82.82,3.28
10.49,99.48,3.94
10.76,122.99,4.48
11.01,147.88,5.14
11.26,175.79,6.25
11.51,205.21,7.72
11.74,231.17,8.93
12,256.04,9.56
12.26,272.2,9.82
12.49,278.04,10.11
12.76,275.62,10.54
13,268.86,10.88
13.24,259.96,10.76
13.51,251.63,9.86
13.75,247.3,9.03
13.87,246.77,8.88
14,247.77,8.52
14.25,253.23,8.17
14.35,256.32,8.18
14.5,261.34,8.39
14.58,264.43,8.61
14.76,271.45,9.16
14.9,276.51,9.81
15.35,303.66,10.94
15.58,317.83,10.73
15.81,322.64,10.18
16.04,320.42,9.56
16.33,310.14,8.86
16.56,298.23,8.54
16.8,284.06,8.46
17.05,268.2,8.8
17.29,250.91,9.38
17.78,212.22,10.33
18.27,173.93,10.24
18.78,142.71,8.62
19.24,120.91,8.39
19.75,103.52,7.84
20.22,92.14,7.06
20.7,83.34,6.81
21.23,74.83,5.94
21.72,68.9,5.72
22.21,64.64,5.58
22.71,61.28,5.36
