9.49,5.12,0.18
9.74,16.65,0.59
10.01,21.26,0.78
10.49,24.91,0.95
10.76,28.22,1.05
11.01,31.96,1.13
11.26,36.25,1.26
11.51,41.23,1.46
11.74,46.39,1.69
12,53.01,2.05
12.26,60.62,2.44
12.49,69.47,2.71
12.76,81.66,3.11
13,93.17,3.5
13.24,104.51,3.85
13.51,117.25,4.17
13.75,129.85,4.61
14,143,5.13
14.25,155.66,5.59
14.5,166.59,5.78
14.85,178.96,5.98
14.93,181.28,6.02
15.03,183.01,6.07
15.07,183.71,6.08
15.25,186.54,6.16
15.51,188.26,6.17
15.58,188.54,6.18
15.76,189.36,6.34
15.81,189.4,6.41
16.02,189.61,6.8
16.04,189.74,6.84
16.33,191.74,7.74
16.51,193.05,8.53
16.56,193.45,8.81
17.29,195.05,11.48
17.78,184.49,9.99
18.27,162.12,7.41
18.78,139.02,6.62
19.24,120.89,5.74
19.75,103.57,5.58
20.22,91.51,5.37
20.7,81.46,4.8
21.23,72.36,4.76
21.72,65.57,4.98
22.21,59.61,4.59
22.71,54.15,3.97
23.15,49.64,3.86
23.66,44.83,3.62
24.17,40.39,3.35
24.62,37.02,3.14
25.14,33.89,2.95
25.61,31.96,2.85
26.08,30.8,2.62
26.61,30.17,2.33
27.09,29.97,2.04
27.57,29.77,1.89
28.05,29.24,1.8
28.54,28.27,1.74
29.02,27.12,1.73
29.58,25.93,1.72
30.51,24.78,1.57
31.51,24.13,1.42
32.46,23.22,1.35
33.3,22.04,1.33
34.41,20.48,1.22
35.41,19.59,1.06
36.37,19.22,0.95
37.34,18.47,0.95
38.27,17.22,0.98
39.28,15.72,1.04
40.23,14.54,1.32
41.2,13.66,2.13
42.19,12.06,4.48
