12.2,1.65
12.3,6.95
12.4,12
12.5,14.25
12.6,12.09
12.7,6.59
12.8,4.59
12.9,10.56
13,15.45
13.1,10.8
13.2,16.53
13.3,37.8
13.4,46.65
13.5,31.05
13.6,26.55
13.7,33.9
13.8,40.95
13.9,48.99
14,57
14.1,60.6
14.2,48.72
14.3,60
14.4,74.85
14.5,82.35
14.6,88.32
14.7,101.85
14.8,121.8
14.9,111.9
15,85.2
15.1,103.8
15.2,123
15.3,136.65
15.4,143.85
15.5,151.26
15.6,150
15.7,145.53
15.8,143.91
15.9,141
16,135.06
16.1,143.22
16.2,169.41
16.3,192.99
16.4,197.4
16.5,170.55
16.6,155.58
16.7,141.78
16.8,144
16.9,148.8
17,168.45
17.1,157.35
17.2,136.35
17.3,127.53
17.4,135.12
17.5,136.5
17.6,122.7
17.7,137.91
17.8,159
17.9,141
18,108
18.1,86.85
18.2,102
18.3,117
18.4,128.7
18.5,138.39
18.6,115.23
18.7,100.59
18.8,98.91
18.9,101.7
19,102.45
19.1,107.7
19.2,114
19.3,99
19.4,81
19.5,72
19.6,79.5
19.7,69.45
19.8,77.4
19.9,82.5
20,78
20.1,58.44
20.2,61.38
20.3,55.62
20.4,61.65
20.5,66.6
20.6,74.7
20.7,83.73
20.8,77.25
20.9,68.94
21,57.98
21.1,51.45
21.2,49.44
21.3,52.62
21.4,55.8
21.5,58.41
21.6,63.81
21.7,69
21.8,64.68
21.9,64.66
22,55.83
22.1,56.7
22.2,58.38
22.3,60.27
22.4,56.94
22.5,54.33
22.6,48.21
22.7,38.91
22.8,40.41
22.9,47.43
23,48.09
23.1,50.79
23.2,52.86
23.3,57
23.4,55.65
23.5,57
23.6,56.64
23.7,59.4
23.8,56.25
23.9,50.88
24,54
24.1,52.68
24.2,48.48
24.4,45.75
24.6,42.66
24.7,43.38
24.9,40.29
25.1,39
25.2,40.05
25.3,43.32
25.4,40.53
25.5,40.59
25.6,34.98
25.7,34.05
25.8,33.03
25.9,31.56
26,30
26.1,26.73
26.2,19.56
26.3,18.66
26.4,16.65
27.1,26.64
27.2,29.97
27.3,30.33
27.4,32.97
27.5,33.66
27.6,32.25
27.9,42.99
28.1,27.66
28.2,26.46
28.3,23.64
28.4,22.5
28.5,19.59
28.6,18.18
28.7,15.66
28.8,11.94
28.9,10.98
29,13.56
29.1,12
29.2,13.89
29.3,13.98
29.4,15.99
29.5,16.98
29.6,17.64
29.7,18.99
29.8,19.32
