9.7,0.87,0.9
9.8,1.29,0.9
9.9,6.79,0.91
10,12.36,0.91
10.1,18.43,0.91
10.2,16.99,0.91
10.3,17.13,1.13
10.4,18.67,1.47
10.5,22.14,1.18
10.6,24.03,1.07
10.7,23.42,1.51
10.8,23,1.57
10.9,22.13,1.49
11,22.96,1.07
11.1,25.11,1.29
11.2,28.93,1.61
11.3,30.18,1.63
11.4,34.98,1.82
11.5,39.54,2.13
11.6,42.3,2.11
11.7,47.41,2.32
11.8,52.72,2.44
11.9,52.91,2.37
12,53.03,2.26
12.1,56.99,2.19
12.2,71.16,2.41
12.3,71.49,2.51
12.4,74.36,2.52
12.5,81.89,2.31
12.6,84.5,2.38
12.7,90.17,2.32
12.8,97.2,2.65
12.9,104.01,2.75
13,107.35,2.56
13.1,115.06,2.72
13.2,118.65,2.74
13.3,123.89,2.74
13.4,129.51,2.76
13.5,140.63,2.92
13.6,146.84,2.84
13.7,156.5,3.09
13.8,166.09,3.02
13.9,172.39,3.04
14,178.2,2.89
14.1,188.5,3.04
14.2,196.44,3.03
14.3,203.15,3
14.4,212.6,3.2
14.5,214.79,3.15
14.6,226.41,3.17
14.7,234,3.16
14.8,243.45,3.14
14.9,248.93,3.19
15,255.61,3.23
15.1,262.06,3.3
15.2,266.04,3.27
15.3,264.86,3.17
15.4,270.08,3.3
15.5,268.9,3.34
15.6,265.62,3.31
15.7,261.71,3.3
15.8,258.56,3.29
15.9,259.41,3.3
16,264.1,3.3
16.1,257.73,3.3
16.2,252.05,3.31
16.3,245.09,3.31
16.4,239.42,3.29
16.5,233.16,3.36
16.6,225.44,3.42
16.7,222.75,3.36
16.8,215.57,3.27
16.9,203.6,3.17
17,196.26,3.86
17.1,193.43,4.07
17.2,191.43,4.05
17.3,190.01,3.94
17.4,182.63,3.83
17.5,173.93,3.66
17.6,167.95,3.48
17.7,156.94,3.2
17.8,156.21,3.01
17.9,148.02,2.83
18,143.6,2.54
18.1,136.42,2.4
18.2,133.95,2.31
18.3,127.1,2.2
18.4,126.48,2.1
18.5,120.72,2.05
18.6,117.77,2.03
18.7,115.11,2.02
18.8,113.72,2.01
18.9,107.21,1.97
19,104.73,1.96
19.1,101.87,1.94
19.2,97.22,1.93
19.3,95.18,1.93
19.4,90.52,1.92
19.5,90.28,1.91
19.6,89.89,1.91
19.7,85.92,1.92
19.8,85.77,1.88
19.9,83.34,1.91
20,81.96,1.88
20.1,77.96,1.98
20.2,74.58,2.02
20.3,69.69,2.04
20.4,66.9,2.06
20.5,67.63,2.06
20.6,65.09,2.07
20.7,65.75,2.08
20.8,64.5,2.07
20.9,60.54,2.09
21,59.15,2.08
21.1,61.11,2.08
21.2,64.3,2.08
21.3,63.15,2.11
21.4,62.01,2.11
21.5,59.42,2.13
21.6,57.44,2.13
21.7,56.77,2.16
21.8,53.22,2.14
21.9,49.46,2.16
22,48.59,2.18
22.1,48.43,2.17
22.2,44.29,3.48
22.3,46.35,3.39
22.4,48.17,3.31
22.5,42.08,3.26
22.6,44.48,3.2
22.7,41.48,3.19
22.8,40.81,3.13
22.9,41.37,3.14
23,40.99,3.1
23.1,40.64,3.15
23.2,42.09,3.09
23.3,35.66,3.15
23.4,35.72,3.16
23.5,35.95,3.15
23.6,33.92,3.17
23.7,36.66,3.17
23.8,37.55,3.17
23.9,38.2,3.18
24,40.2,3.17
24.1,38.13,3.18
24.2,35.82,3.2
24.3,34.35,3.19
24.4,33.85,3.18
24.5,35.49,3.19
24.6,35.77,3.2
24.7,32.86,3.22
24.8,32.65,3.19
24.9,32.63,3.21
25,34.04,3.18
25.1,33.45,3.16
25.2,33.29,3.15
25.3,31.41,3.12
25.4,32.62,3.23
25.5,35.39,3.12
25.6,34.47,3.23
25.7,36.45,3.29
25.8,34.26,3.31
25.9,34.52,3.38
26,35.37,3.25
26.1,36.41,3.29
26.2,39.46,3.33
26.3,37.4,3.52
26.4,39.78,3.52
26.5,39.1,3.52
26.6,35.73,3.7
26.7,42.47,3.76
26.8,40.46,3.81
26.9,42.78,3.79
27,48.12,3.9
27.1,39.51,4.47
27.2,39.23,4.49
27.3,38.3,4.49
27.4,37.38,4.49
27.5,36.45,4.49
27.6,35.53,4.49
27.7,34.6,4.49
27.8,34.27,4.49
27.9,34.54,4.49
28,34.82,4.48
28.1,35.09,4.48
28.2,35.36,4.48
28.3,35.64,4.48
28.4,35,4.46
28.5,32.22,4.39
28.6,29.43,4.33
28.7,26.64,4.26
28.8,23.84,4.2
28.9,21.04,4.13
29,18.43,4.07
29.1,17.33,4
29.2,16.24,3.94
29.3,15.14,3.87
29.4,14.04,3.81
29.5,12.94,3.74
29.6,11.84,3.68
