7.5,10.1,5.04
8,25,5.09
8.5,34.01,5.25
9,48.45,5.63
9.5,64.09,6.11
10,82.25,6.69
10.5,116.6,8
11,170.17,10.26
11.5,249.86,13.94
12,333.13,19.66
12.5,367.28,23.06
13,357.18,22.69
13.5,346.18,22.28
14,359.4,22.7
14.5,356.97,20.22
15,340.93,14.65
15.5,332.1,13.46
16,305.46,13.51
16.5,269.85,12.08
17,220.41,10.64
17.5,181.56,9.12
18,148.97,8.3
18.5,132.19,7.97
19,121.41,7.77
19.5,106.61,7.43
20,100.96,7.37
20.5,86.51,7.08
21,78.02,6.93
21.5,68.92,6.85
22,63.69,7.39
22.5,58.64,7.37
23,52.74,6.98
23.5,45.39,6.15
24,37.59,5.12
24.5,29.97,4.29
25,31.95,4.08
25.5,26.37,3.94
26,21.41,3.88
26.5,22.79,3.85
27,24.88,2.36
27.5,24.97,2.81
28,23.98,2.79
28.5,20.68,2.63
29,20.37,2.63
29.5,21.44,2.83
30,15.97,2.92
30.5,12.21,3.03
31,13.18,3.19
31.5,13.14,3.26
32,12.13,3.26
32.5,14.44,3.27
33,7.17,3.05
33.5,2.7,2.87
34,8.96,2.72
34.5,3.74,2.47
35,-1.24,2.41
35.5,-1.33,3.39
36,1.33,3.37
36.5,1.38,3.43
