8.26,13.66,0.51
8.51,25.54,0.94
8.75,30.54,1.11
9,34.79,1.22
9.25,40.89,1.53
9.51,48.15,1.89
9.74,55,2.15
10.01,63.99,2.52
10.25,75.03,2.94
10.49,89.75,3.44
10.76,111.09,4.1
11.01,135.08,4.94
11.26,165.41,6.2
11.51,200.88,7.76
12,262.91,10.79
12.49,285.04,11.91
13,266.65,11.83
13.51,244.84,11.05
14,247.3,11.04
14.5,285.02,11.36
14.85,313.86,12.54
14.98,320.15,13.54
15.35,342.86,13.66
15.58,348.7,11.99
15.81,345.98,10.88
15.95,342.1,10.96
16.33,325.86,10.46
16.56,309.11,10.1
16.8,286.48,10.15
17.29,234.88,10.88
17.78,187.32,10.56
18.27,155.87,10.72
18.78,130.18,9.32
19.24,110.87,8.04
19.75,93.77,7.08
20.22,84.46,6.66
20.7,78.12,6.23
21.23,72.29,5.87
21.72,67.89,5.7
22.21,65.31,5.23
22.71,63.62,4.43
23.15,61.74,4.03
23.66,58.38,4.04
24.17,54.63,3.71
24.62,52.28,3.48
25.14,49.99,3.15
25.61,48.04,2.88
26.08,46.37,2.62
26.61,44.92,2.3
27.09,44.01,2.12
27.57,43.35,2.04
28.05,42.56,2.05
28.54,41.41,2.12
29.02,39.86,2.27
29.58,37.82,2.52
31.51,31.56,2.7
33.3,26.75,3.28
35.41,23.12,4.47
37.34,31.28,4.44
39.28,31.84,13
